atr_k,risk_pct,max_positions,entry_confirm,min_rebalance_pct,total_return,cagr,vol,sharpe,max_drawdown,total_costs,rules_per_trade_risk_pct,rules_atr_k,rules_max_positions,rules_cost_bps,rules_max_gross_exposure_pct,regime_on,regime_symbol,regime_window,is_start,is_end
2.3,0.35,8,1,0.002,0.4727717435025969,0.04405407394732075,0.08302403082613044,0.5608985746662998,0.15778788853058898,7603.255693204446,0.0034999999999999996,2.3,8.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.3,0.35,10,1,0.002,1.167563325467094,0.08996531706184085,0.11386469085789006,0.8137330134521519,0.18249970925702216,14190.68245973862,0.0034999999999999996,2.3,10.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.3,0.35,12,1,0.002,1.1872402556263482,0.09106272709995356,0.11429134923690615,0.8199285346452475,0.18614137029818034,14306.707133546282,0.0034999999999999996,2.3,12.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.3,0.4,8,1,0.002,1.4339141866954765,0.10412347339816086,0.12987443890160497,0.8279065882433161,0.20525072860220694,17492.135480625697,0.004,2.3,8.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.3,0.4,10,1,0.002,1.4311523738826937,0.1039838874592609,0.1302298273182345,0.8250331335539487,0.20363201404954792,17542.85745895964,0.004,2.3,10.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.3,0.4,12,1,0.002,1.4555076969229463,0.10521001356387916,0.13067431985117486,0.8311683597661866,0.20767226412475298,17695.36936523623,0.004,2.3,12.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.3,0.45,8,1,0.002,1.6761941169830248,0.11585280724791414,0.14630590217105563,0.8227615651307904,0.22889294263647778,21250.528266118326,0.0045000000000000005,2.3,8.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.3,0.45,10,1,0.002,1.678610352712841,0.11596494979848582,0.14656324219378536,0.8222543285630703,0.2248281232857982,21110.990578038338,0.0045000000000000005,2.3,10.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.3,0.45,12,1,0.002,1.7130706203813055,0.11755461639316822,0.14711612813222452,0.8293965261172953,0.2313595603157315,21337.934211502416,0.0045000000000000005,2.3,12.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.3,0.5,8,1,0.002,1.906983207946885,0.12617890104170826,0.16255453251038368,0.8127231420786571,0.25785814642574056,25058.986785818888,0.005,2.3,8.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.3,0.5,10,1,0.002,1.9510051615627342,0.12806535338888403,0.16292498086379772,0.8215177814579314,0.24809957404199706,25083.698327916016,0.005,2.3,10.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.3,0.5,12,1,0.002,1.9959586808058205,0.12996609262912684,0.1635551764992564,0.829281001746613,0.25295372061379195,25412.648522871823,0.005,2.3,12.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.4,0.35,8,1,0.002,1.1219744311268012,0.08738834519559568,0.11144272658615226,0.8077165951611764,0.19482358675295852,13150.432937681386,0.0034999999999999996,2.4,8.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.4,0.35,10,1,0.002,1.1385200501948902,0.08832924565438915,0.11163420383335032,0.8142691611742088,0.18726126896768044,13088.002037058326,0.0034999999999999996,2.4,10.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.4,0.35,12,1,0.002,1.140004724331606,0.08841335808315853,0.11194700780070391,0.812996862932661,0.19228593696655352,13112.154702961076,0.0034999999999999996,2.4,12.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.4,0.4,8,1,0.002,1.3330674812889605,0.09893279875450522,0.127389752964538,0.804535297743157,0.22093611931594212,15945.891968418038,0.004,2.4,8.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.4,0.4,10,1,0.002,1.3434083741108092,0.09947413126591798,0.12760892724464531,0.8072296871474791,0.21426608818831636,15955.481049911397,0.004,2.4,10.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.4,0.4,12,1,0.002,1.3549042806994245,0.10007344125225526,0.12804467646659787,0.8091737601952578,0.22267712434649592,16017.156915067984,0.004,2.4,12.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.4,0.45,8,1,0.002,1.573555125019464,0.11100397954519092,0.1434248534770762,0.8059868232834109,0.24837863019087897,19198.286679691744,0.0045000000000000005,2.4,8.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.4,0.45,10,1,0.002,1.5753997168226586,0.1110926257470608,0.1436666065331121,0.8054233685127791,0.24205982811394128,19162.6666650125,0.0045000000000000005,2.4,10.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.4,0.45,12,1,0.002,1.5974302616973288,0.11214701723751741,0.14420393410439303,0.8095386732804395,0.24650031925774615,19287.357372679995,0.0045000000000000005,2.4,12.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.4,0.5,8,1,0.002,1.8345099474203268,0.12301721281797406,0.15940941860044994,0.8079199047160679,0.27074914907009107,22854.98382078334,0.005,2.4,8.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.4,0.5,10,1,0.002,1.8037312591907995,0.12165269507559628,0.15972013716768343,0.7990381211488736,0.2689817443933068,22600.328586212414,0.005,2.4,10.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.4,0.5,12,1,0.002,1.8562281572147774,0.12397214935508405,0.16024046602977637,0.8098608045652083,0.2736150976395909,22942.555849961955,0.005,2.4,12.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.5,0.35,8,1,0.002,1.0864975645294472,0.08534870233350977,0.10956440418937004,0.8025224698451799,0.20330823310664978,12098.331853905258,0.0034999999999999996,2.5,8.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.5,0.35,10,1,0.002,1.072857733876694,0.08455630828452843,0.1099394406948188,0.7935145197081864,0.20156590042805214,12079.46787177971,0.0034999999999999996,2.5,10.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.5,0.35,12,1,0.002,1.0972337324309809,0.08596917956295713,0.11037697720490008,0.8026083435445696,0.2023283734974635,12191.801494747753,0.0034999999999999996,2.5,12.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.5,0.4,8,1,0.002,1.297220619772034,0.09703960719908311,0.12546310329200885,0.8011974869062075,0.2282253332043254,14799.83678344266,0.004,2.5,8.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.5,0.4,10,1,0.002,1.2852361047769851,0.09640080721493782,0.1257590788190573,0.7949717311036004,0.2263090008322795,14727.711096105271,0.004,2.5,10.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.5,0.4,12,1,0.002,1.313834097738512,0.09792025997975617,0.1260697221248902,0.8043094761977098,0.23094704733892177,14856.222854539279,0.004,2.5,12.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.5,0.45,8,1,0.002,1.4953308940074757,0.10719175317252772,0.14120229452151534,0.7920772888507086,0.2567879933524499,17616.90709674307,0.0045000000000000005,2.5,8.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.5,0.45,10,1,0.002,1.4778070929140945,0.10632319676802937,0.14161271313450602,0.7846532902870492,0.2535295732088385,17563.93830159483,0.0045000000000000005,2.5,10.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
