atr_k,risk_pct,max_positions,entry_confirm,min_rebalance_pct,total_return,cagr,sharpe,max_drawdown,total_costs,summary_path
2.3,0.35,8,1,0.0,1.189013681757848,0.09116120208261935,0.8251458626910282,0.18715872028183658,14328.291243845946,data/backtests/PORT_trend_breakout_20250808-235221_summary.csv
2.3,0.35,8,1,0.002,1.1704000333960871,0.09012406902029824,0.8157240665861522,0.18754819715362822,14238.14198176712,data/backtests/PORT_trend_breakout_20250808-235240_summary.csv
2.3,0.35,8,2,0.0,0.4535162826434096,0.04252512178501133,0.5440223314232062,0.16925942465798866,7542.475015241339,data/backtests/PORT_trend_breakout_20250808-235259_summary.csv
2.3,0.35,8,2,0.002,0.4719790679842186,0.04399148424839461,0.5604778456995374,0.15820773320620057,7518.149491997184,data/backtests/PORT_trend_breakout_20250808-235318_summary.csv
2.3,0.35,10,1,0.0,1.183842460099103,0.09087385560735273,0.8211530064778567,0.17730598668493558,14338.51644301587,data/backtests/PORT_trend_breakout_20250808-235337_summary.csv
2.3,0.35,10,1,0.002,1.172410827217878,0.09023648834222642,0.8160641619095885,0.17986767356436742,14208.446744838839,data/backtests/PORT_trend_breakout_20250808-235355_summary.csv
2.3,0.35,10,2,0.0,0.4752701026734776,0.04425114883793002,0.557203346100647,0.1551752374243851,7641.41326415347,data/backtests/PORT_trend_breakout_20250808-235415_summary.csv
2.3,0.35,10,2,0.002,0.45970236786451957,0.043018271377949446,0.5432203285995396,0.17001551699104148,7547.05842153468,data/backtests/PORT_trend_breakout_20250808-235434_summary.csv
2.3,0.35,12,1,0.0,1.210002306453812,0.09232130735438804,0.8299081239861342,0.18107934126385594,14470.981423803369,data/backtests/PORT_trend_breakout_20250808-235452_summary.csv
2.3,0.35,12,1,0.002,1.1754424578121143,0.09040580585800195,0.8148060591865709,0.1880500827021011,14280.551899939472,data/backtests/PORT_trend_breakout_20250808-235512_summary.csv
2.3,0.35,12,2,0.0,0.4954666056205781,0.04583348400999521,0.571284091851107,0.15694840794713857,7723.927985240805,data/backtests/PORT_trend_breakout_20250808-235531_summary.csv
2.3,0.35,12,2,0.002,0.4666571318591377,0.04357048660382512,0.5468086632593829,0.16908588307200095,7579.327572131562,data/backtests/PORT_trend_breakout_20250808-235550_summary.csv
2.3,0.4,8,1,0.0,1.410633760183822,0.10294241258389358,0.8191568677166345,0.205261521068779,17554.4777045729,data/backtests/PORT_trend_breakout_20250808-235609_summary.csv
2.3,0.4,8,1,0.002,1.4088632059544408,0.10285217476394193,0.8185652955079655,0.20473381965365806,17448.072088147972,data/backtests/PORT_trend_breakout_20250808-235628_summary.csv
2.3,0.4,8,2,0.0,0.5415352758842928,0.049372938399964594,0.5555555322566857,0.18714146482764488,8920.100141440586,data/backtests/PORT_trend_breakout_20250808-235648_summary.csv
2.3,0.4,8,2,0.002,0.5161586070155151,0.04743506630572769,0.5373712740544391,0.1959771935601094,8783.772811611258,data/backtests/PORT_trend_breakout_20250808-235707_summary.csv
2.3,0.4,10,1,0.0,1.3928066986748013,0.10203113918730322,0.8114708453309022,0.20924243302219347,17474.29856251814,data/backtests/PORT_trend_breakout_20250808-235726_summary.csv
2.3,0.4,10,1,0.002,1.4176593005875713,0.103299895763036,0.820491710697275,0.20176055198751142,17493.674430040403,data/backtests/PORT_trend_breakout_20250808-235745_summary.csv
2.3,0.4,10,2,0.0,0.5562595861092259,0.05048439192975107,0.559710067058512,0.18032024157059948,9055.475542189766,data/backtests/PORT_trend_breakout_20250808-235804_summary.csv
2.3,0.4,10,2,0.002,0.5346287892932666,0.04884835363248996,0.5443011541267126,0.18813220368205816,8862.283088861204,data/backtests/PORT_trend_breakout_20250808-235823_summary.csv
2.3,0.4,12,1,0.0,1.4210076105324267,0.10346994434751666,0.8190566671003332,0.21088572192796287,17641.239237454844,data/backtests/PORT_trend_breakout_20250808-235842_summary.csv
2.3,0.4,12,1,0.002,1.4272026428932278,0.10378401738800269,0.8208977436071869,0.21111281335949736,17574.933938551138,data/backtests/PORT_trend_breakout_20250808-235902_summary.csv
2.3,0.4,12,2,0.0,0.5594201640039009,0.05072174698263199,0.5596262229686394,0.17773430398322268,9061.360379208525,data/backtests/PORT_trend_breakout_20250808-235921_summary.csv
2.3,0.4,12,2,0.002,0.5322662633621373,0.04866842545357075,0.5393931018575301,0.19433791754972193,8924.836196772754,data/backtests/PORT_trend_breakout_20250808-235940_summary.csv
2.3,0.45,8,1,0.0,1.6770515582134733,0.11589261318304023,0.8231188383183177,0.22860909216950337,21226.24945426223,data/backtests/PORT_trend_breakout_20250808-235959_summary.csv
2.3,0.45,8,1,0.002,1.6629726220759942,0.11523757214696406,0.819802596570682,0.23410204632532705,21012.292398606816,data/backtests/PORT_trend_breakout_20250809-000018_summary.csv
2.3,0.45,8,2,0.0,0.5919925201510539,0.053143294715683576,0.5399699236191133,0.2143882991952245,10219.444827428702,data/backtests/PORT_trend_breakout_20250809-000038_summary.csv
2.3,0.45,8,2,0.002,0.6021547342774072,0.053889781623021715,0.5466887808739623,0.2152989948291502,10233.980740583815,data/backtests/PORT_trend_breakout_20250809-000057_summary.csv
2.3,0.45,10,1,0.0,1.68543525741573,0.11628122302926314,0.8242916111616339,0.22493845134695353,21165.699387401874,data/backtests/PORT_trend_breakout_20250809-000115_summary.csv
2.3,0.45,10,1,0.002,1.6495896666793048,0.11461205320433954,0.813779674095478,0.23066025314790578,21009.43080085725,data/backtests/PORT_trend_breakout_20250809-000135_summary.csv
