atr_k,risk_pct,max_positions,entry_confirm,min_rebalance_pct,total_return,cagr,vol,sharpe,max_drawdown,total_costs,rules_per_trade_risk_pct,rules_atr_k,rules_max_positions,rules_cost_bps,rules_max_gross_exposure_pct,regime_on,regime_symbol,regime_window,is_start,is_end
2.3,0.35,8,2,0.0,0.4727717435025969,0.04405407394732075,0.08302403082613044,0.5608985746662998,0.15778788853058898,7603.255693204446,0.0034999999999999996,2.3,8.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.3,0.35,10,2,0.0,0.47503658115485514,0.0442327408271348,0.0842800673135224,0.5558251400705364,0.15626839427044495,7664.970917811868,0.0034999999999999996,2.3,10.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.3,0.35,12,2,0.0,0.49231940048297695,0.045588163811647764,0.08474224902662426,0.5685663826304981,0.15687304378235412,7713.553732002534,0.0034999999999999996,2.3,12.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.3,0.4,8,2,0.0,0.5283676368196597,0.04837096923073014,0.0946517653534083,0.5465458583154518,0.18947306789407872,8842.702215522799,0.004,2.3,8.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.3,0.4,10,2,0.0,0.5353939457148698,0.048906574595082075,0.09617692452791798,0.5447150415963553,0.18967494878452834,8924.177093350316,0.004,2.3,10.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.3,0.4,12,2,0.0,0.5694688030052371,0.05147355614710669,0.09689106345537586,0.5666479955115253,0.17805839188247535,9115.447136601908,0.004,2.3,12.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.3,0.45,8,2,0.0,0.5989260857514722,0.05365307158407662,0.1064541173187192,0.5443645597178073,0.21421766318111515,10263.821614999844,0.0045000000000000005,2.3,8.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.3,0.45,10,2,0.0,0.6305009253688552,0.05594999270852341,0.10842691656929411,0.5565185567273625,0.20087853327334582,10475.34645684184,0.0045000000000000005,2.3,10.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.3,0.45,12,2,0.0,0.6286542759148244,0.055816750630028444,0.10899355569235576,0.5530372882639899,0.2092278342086629,10521.011552910079,0.0045000000000000005,2.3,12.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.3,0.5,8,2,0.0,0.7060746528126829,0.06129107828693048,0.11869985946631623,0.5607358481201549,0.22637965502825344,11910.20708153484,0.005,2.3,8.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.3,0.5,10,2,0.0,0.7198424838722517,0.06224138954716163,0.1204502197815996,0.5617754655384495,0.22133031741892076,12021.442000042583,0.005,2.3,10.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.3,0.5,12,2,0.0,0.7120807816198662,0.06170648045343907,0.12121298379781704,0.5548514359860218,0.2297346631691305,12024.011711996192,0.005,2.3,12.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.4,0.35,8,2,0.0,0.39306841594088726,0.037605542619409515,0.080681453709715,0.4979967332623735,0.1763434072125418,6923.676613453793,0.0034999999999999996,2.4,8.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.4,0.35,10,2,0.0,0.3937115086994807,0.03765887124357903,0.0818731431178929,0.4925665987912169,0.17736418889540292,7001.384031994921,0.0034999999999999996,2.4,10.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.4,0.35,12,2,0.0,0.4472860217562402,0.0420265618044966,0.08307725447849246,0.5371930566984213,0.15642415122948136,7205.710321706226,0.0034999999999999996,2.4,12.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.4,0.4,8,2,0.0,0.4585431961555968,0.04292600474955033,0.09269265619617931,0.49992165873521904,0.19593434745017985,8144.838359700438,0.004,2.4,8.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.4,0.4,10,2,0.0,0.47160594709422865,0.04396201223593765,0.09422675511269729,0.5038533206913953,0.19651006290398018,8288.221268557576,0.004,2.4,10.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.4,0.4,12,2,0.0,0.4813449716160687,0.044729110488868296,0.09446846291360525,0.5105842373268544,0.19593949748503744,8317.407452676998,0.004,2.4,12.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.4,0.45,8,2,0.0,0.5595983541629246,0.05073511608439474,0.1045499368585853,0.5258148960766442,0.2072214983249718,9564.825820906755,0.0045000000000000005,2.4,8.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.4,0.45,10,2,0.0,0.5638988076475071,0.051057355921177106,0.10619580107548793,0.5222013329821311,0.20674252642348423,9689.552379634579,0.0045000000000000005,2.4,10.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.4,0.45,12,2,0.0,0.5392517890853228,0.04919972682918372,0.10608243038481618,0.5059703660927635,0.2198765289006407,9564.4502141441,0.0045000000000000005,2.4,12.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.4,0.5,8,2,0.0,0.6031178206096413,0.05396030871468138,0.11551099524752093,0.512946480345176,0.23546939416171872,10819.81497644564,0.005,2.4,8.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.4,0.5,10,2,0.0,0.6463908311831323,0.05709099494865022,0.11742510479562214,0.531763881694834,0.22392153765295794,11082.519090356172,0.005,2.4,10.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.4,0.5,12,2,0.0,0.6288074316577288,0.05582780644524843,0.11806375276983633,0.5194016316787792,0.23286994083511411,11046.336460687598,0.005,2.4,12.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.5,0.35,8,2,0.0,0.3636357112856978,0.03514110107191026,0.08075077564393195,0.4682008031258191,0.1839818535749012,6498.599607926989,0.0034999999999999996,2.5,8.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.5,0.35,10,2,0.0,0.36241716666579693,0.03503805507912716,0.08162124622156745,0.4628632935451356,0.18843732071427155,6536.654543610283,0.0034999999999999996,2.5,10.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.5,0.35,12,2,0.0,0.3631455561599368,0.035099661038809016,0.08219328558833802,0.4609399170519506,0.19400940376272977,6592.715194623685,0.0034999999999999996,2.5,12.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.5,0.4,8,2,0.0,0.422489695651874,0.040023210325025316,0.09232544334052147,0.4713654038090217,0.2068632474920007,7576.277900751251,0.004,2.5,8.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.5,0.4,10,2,0.0,0.42325239149548,0.04008529119993365,0.0933433809724867,0.46789194293366215,0.20685952115472447,7703.485134526716,0.004,2.5,10.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.5,0.4,12,2,0.0,0.43743879277087716,0.04123466055273628,0.09395450617677874,0.4772186637101994,0.2033267692841339,7763.002985199634,0.004,2.5,12.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.5,0.45,8,2,0.0,0.4854813520187635,0.04505355896309138,0.10393169355484781,0.4761692421370967,0.2240731067877354,8798.177324416973,0.0045000000000000005,2.5,8.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.5,0.45,10,2,0.0,0.49662883692015725,0.04592396231509732,0.1051509662051952,0.47979703297537013,0.22894558552286773,8912.464985202694,0.0045000000000000005,2.5,10.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
