atr_k,risk_pct,max_positions,entry_confirm,min_rebalance_pct,total_return,cagr,vol,sharpe,max_drawdown,total_costs,rules_per_trade_risk_pct,rules_atr_k,rules_max_positions,rules_cost_bps,rules_max_gross_exposure_pct,regime_on,regime_symbol,regime_window,is_start,is_end
2.3,0.35,8,2,0.002,0.458429666468094,0.04291696462007555,0.08282426144516124,0.5488910521058562,0.16932185081004333,7455.28147515264,0.0034999999999999996,2.3,8.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.3,0.35,10,2,0.002,0.48030937620588254,0.04464775468664217,0.08409074459500744,0.5616123168572517,0.15494331408253986,7594.0809005838555,0.0034999999999999996,2.3,10.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.3,0.35,12,2,0.002,0.4720413708862008,0.043996404773107844,0.08474609228324645,0.5505646593806062,0.16726500682699738,7636.089425559785,0.0034999999999999996,2.3,12.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.3,0.4,8,2,0.002,0.5488686181252755,0.04992766390409109,0.09480957463381634,0.5614471250889921,0.1768886749305721,8884.564271765194,0.004,2.3,8.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.3,0.4,10,2,0.002,0.5580675756365501,0.0506202218320948,0.0962450325213315,0.5613614744559066,0.18191790291201168,9002.46499711594,0.004,2.3,10.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.3,0.4,12,2,0.002,0.5442580677352962,0.04957917523388433,0.09685122954911263,0.54821950330716,0.18771553649376227,8989.633846530336,0.004,2.3,12.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.3,0.45,8,2,0.002,0.6117042687075951,0.05458743795695531,0.10654773704870037,0.5522993841034403,0.2112347939681871,10223.039054023606,0.0045000000000000005,2.3,8.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.3,0.45,10,2,0.002,0.5968760816099472,0.0535025539063787,0.10819663435419687,0.5360204619503823,0.21758026872654884,10271.002464528268,0.0045000000000000005,2.3,10.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.3,0.45,12,2,0.002,0.6526408956172585,0.057537111671053465,0.10915763979500863,0.5672882938704936,0.20094333915538523,10564.635593351244,0.0045000000000000005,2.3,12.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.3,0.5,8,2,0.002,0.6939403809448226,0.060447854911841015,0.11854902982308085,0.5545880409117304,0.23731179022150903,11752.681100717322,0.005,2.3,8.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.3,0.5,10,2,0.002,0.6947556811065625,0.06050467891880418,0.12030138870265271,0.5487163256649177,0.2340932502820938,11841.406582095942,0.005,2.3,10.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.3,0.5,12,2,0.002,0.7316899784876447,0.06305375506165012,0.12127355884415392,0.5650943246729461,0.22133733200474437,12057.82534164574,0.005,2.3,12.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.4,0.35,8,2,0.002,0.3958510322945574,0.03783613450738277,0.08079342198865813,0.5001690123642928,0.17586899031230124,6897.005304628536,0.0034999999999999996,2.4,8.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.4,0.35,10,2,0.002,0.43957069386784187,0.04140651321902378,0.08250550044711032,0.533123789867306,0.15778995904539156,7080.700015168786,0.0034999999999999996,2.4,10.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.4,0.35,12,2,0.002,0.4086899312289536,0.038894815731590926,0.0828063517218829,0.5023243648515107,0.17741919562507105,7025.191643964823,0.0034999999999999996,2.4,12.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.4,0.4,8,2,0.002,0.4898315687689867,0.04539391526808201,0.09278352467091644,0.5250006129574931,0.18257430726292587,8223.074367606625,0.004,2.4,8.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.4,0.4,10,2,0.002,0.4968174320009202,0.04593863832635736,0.09438212948903234,0.5232234059714002,0.18214760284119502,8305.303379238334,0.004,2.4,10.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.4,0.4,12,2,0.002,0.49584539476674894,0.045862979150147476,0.09493860348729061,0.5199535279355698,0.19076055111742451,8343.854557328166,0.004,2.4,12.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.4,0.45,8,2,0.002,0.544635306984105,0.049607723586373664,0.10434228484098639,0.5163623164288221,0.2147763734459541,9451.67418352696,0.0045000000000000005,2.4,8.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.4,0.45,10,2,0.002,0.5164389997894643,0.047456635285030746,0.10547917600119888,0.4924893644006109,0.2252999709882481,9500.665805630431,0.0045000000000000005,2.4,10.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.4,0.45,12,2,0.002,0.5447336552188782,0.04961516527218768,0.10657514313192953,0.5078396729004476,0.21849207373059715,9588.804682616976,0.0045000000000000005,2.4,12.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
2.4,0.5,8,2,0.002,0.6102545088797651,0.054481760360585385,0.11566941761923752,0.5166782639969033,0.2304428158321424,10815.268777813386,0.005,2.4,8.0,5.0,0.6,True,SPY,200.0,2010-01-01,2018-12-31
