Price,Close,signal,position_shift,ret,strat_ret,equity
Ticker,AAPL,,,,,
Date,,,,,,
2023-01-31,144.2899932861328,1,0.0,0.0,0.0,100000.0
2023-02-01,145.42999267578125,1,1.0,0.007900751560697472,0.007900751560697472,100790.07515606975
2023-02-02,150.82000732421875,1,1.0,0.03706260688917107,0.03706260688917107,104525.61808990917
2023-02-03,154.5,1,1.0,0.024399897209064214,0.024399897209064214,107076.03242701685
2023-02-06,151.72999572753906,1,1.0,-0.01792883024246561,-0.01792883024246561,105156.28441859613
2023-02-07,154.64999389648438,1,1.0,0.019244699473851767,0.019244699473851767,107179.98551001889
2023-02-08,151.9199981689453,1,1.0,-0.017652737376545935,-0.017652737376545935,105287.96537378852
2023-02-09,150.8699951171875,1,1.0,-0.006911552556695955,-0.006911552556695955,104560.26206752
2023-02-10,151.00999450683594,1,1.0,0.0009279472007650558,0.0009279472007650558,104657.28847001684
2023-02-13,153.85000610351562,1,1.0,0.01880677902118011,0.01880677902118011,106625.55496722834
2023-02-14,153.1999969482422,1,1.0,-0.004224953717818392,-0.004224953717818392,106175.0669323551
2023-02-15,155.3300018310547,1,1.0,0.013903426404976438,0.013903426404976438,107651.26416149255
2023-02-16,153.7100067138672,1,1.0,-0.010429376798369527,-0.010429376798369527,106528.52856473153
2023-02-17,152.5500030517578,1,1.0,-0.007546702305912589,-0.007546702305912589,105724.5894725666
2023-02-21,148.47999572753906,1,1.0,-0.026679824600448265,-0.026679824600448265,102903.87596948411
2023-02-22,148.91000366210938,1,1.0,0.0028960664530148783,0.0028960664530148783,103201.89243256455
2023-02-23,149.39999389648438,1,1.0,0.0032905125399556034,0.0032905125399556034,103541.47955376105
2023-02-24,146.7100067138672,1,1.0,-0.018005269695533066,-0.018005269695533066,101677.18728972106
2023-02-27,147.9199981689453,1,1.0,0.008247504598905886,0.008247504598905886,102515.77035949686
2023-02-28,147.41000366210938,-1,1.0,-0.003447772533457294,-0.003447772533457294,102162.31930220516
2023-03-01,145.30999755859375,-1,-1.0,-0.014246021649447993,0.014246021649447993,103617.72591474219
2023-03-02,145.91000366210938,-1,-1.0,0.0041291453691869595,-0.0041291453691869595,103189.87326161563
2023-03-03,151.02999877929688,-1,-1.0,0.035090089703815774,-0.035090089703815774,99568.93135234017
2023-03-06,153.8300018310547,-1,-1.0,0.01853938339660255,-0.01853938339660255,97722.98475960913
2023-03-07,151.60000610351562,-1,-1.0,-0.014496494188358522,0.014496494188358522,99139.62544024586
2023-03-08,152.8699951171875,-1,-1.0,0.00837723590066819,-0.00837723590066819,98309.10941082903
2023-03-09,150.58999633789062,-1,-1.0,-0.014914625839747453,0.014914625839747453,99775.35299433034
2023-03-10,148.5,-1,-1.0,-0.0138787196275717,0.0138787196275717,101160.10714428067
2023-03-13,150.47000122070312,-1,-1.0,0.013266001486216261,-0.013266001486216261,99818.11701255885
2023-03-14,152.58999633789062,-1,-1.0,0.01408915464869298,-0.01408915464869298,98411.76412522758
2023-03-15,152.99000549316406,1,-1.0,0.0026214638237991306,-0.0026214638237991306,98153.78124573703
2023-03-16,155.85000610351562,1,1.0,0.018694035607962345,0.018694035607962345,99988.67152740099
2023-03-17,155.0,1,1.0,-0.00545400109224925,-0.00545400109224925,99443.33320367799
2023-03-20,157.39999389648438,1,1.0,0.015483831590221708,0.015483831590221708,100983.09702777406
2023-03-21,159.27999877929688,1,1.0,0.011944122971497162,0.011944122971497162,102189.25155671644
2023-03-22,157.8300018310547,1,1.0,-0.009103446505241086,-0.009103446505241086,101258.97717175925
2023-03-23,158.92999267578125,1,1.0,0.006969466083539766,0.006969466083539766,101964.69817881176
2023-03-24,160.25,1,1.0,0.008305589788276002,0.008305589788276002,102811.57513477033
2023-03-27,158.27999877929688,1,1.0,-0.012293299349161457,-0.012293299349161457,101547.6816650798
2023-03-28,157.64999389648438,1,1.0,-0.003980318976947728,-0.003980318976947728,101143.48950068324
2023-03-29,160.77000427246094,1,1.0,0.019790742129842442,0.019790742129842442,103145.19421950368
2023-03-30,162.36000061035156,1,1.0,0.009889881791605992,0.009889881791605992,104165.28799770681
2023-03-31,164.89999389648438,1,1.0,0.015644205941022005,0.015644205941022005,105794.8712150488
2023-04-03,166.1699981689453,1,1.0,0.00770166355044366,0.00770166355044366,106609.66771850962
2023-04-04,165.6300048828125,1,1.0,-0.003249643690696802,-0.003249643690696802,106263.22428444088
2023-04-05,163.75999450683594,1,1.0,-0.011290287513422759,-0.011290287513422759,105063.48193016622
2023-04-06,164.66000366210938,1,1.0,0.005495903672834368,0.005495903672834368,105640.90070638698
2023-04-10,162.02999877929688,1,1.0,-0.01597233586979263,-0.01597233586979263,103953.56875871716
2023-04-11,160.8000030517578,1,1.0,-0.007591160506113748,-0.007591160506113748,103164.4405330864
2023-04-12,160.10000610351562,1,1.0,-0.004353214769634461,-0.004353214769634461,102715.3435668567
2023-04-13,165.55999755859375,1,1.0,0.03410363052421039,0.03410363052421039,106218.3096930281
2023-04-14,165.2100067138672,1,1.0,-0.0021139819394035975,-0.0021139819394035975,105993.76610470306
2023-04-17,165.22999572753906,1,1.0,0.0001209915432451858,0.0001209915432451858,106006.59045403844
